Date,Open,High,Low,Close,Adj Close,Volume
2019-04-11,11.680000,11.680000,11.400000,11.440000,11.440000,3027300
2019-04-12,11.540000,11.615000,11.402000,11.550000,11.550000,2695900
2019-04-15,11.520000,11.625000,11.360000,11.450000,11.450000,2063700
2019-04-16,11.500000,11.520000,11.350000,11.430000,11.430000,2436200
2019-04-17,11.500000,11.520000,10.920000,11.000000,11.000000,3941600
2019-04-18,10.930000,11.010000,10.660000,10.800000,10.800000,3463700
2019-04-22,10.760000,10.840000,10.690000,10.810000,10.810000,2089300
2019-04-23,10.850000,10.960000,10.625000,10.940000,10.940000,5440800
2019-04-24,11.000000,11.050000,10.800000,10.840000,10.840000,2196900
2019-04-25,10.950000,10.960000,10.670000,10.830000,10.830000,3180900
2019-04-26,10.830000,10.900000,10.710000,10.830000,10.830000,2106800
2019-04-29,10.850000,11.370000,10.850000,11.200000,11.200000,4141200
2019-04-30,11.180000,11.300000,10.825000,11.130000,11.130000,3066700
2019-05-01,11.200000,11.230000,10.920000,11.000000,11.000000,2470900
2019-05-02,11.000000,11.130000,10.870000,11.020000,11.020000,2538700
2019-05-03,11.170000,11.190000,10.950000,11.140000,11.140000,2609500
2019-05-06,10.800000,11.220000,10.800000,11.180000,11.180000,2531700
2019-05-07,11.010000,11.100000,10.640000,10.770000,10.770000,3569100
2019-05-08,10.720000,10.830000,10.630000,10.700000,10.700000,2229300
2019-05-09,10.540000,10.710000,10.320000,10.600000,10.600000,3641300
2019-05-10,10.500000,10.650000,10.220000,10.550000,10.550000,3152500
2019-05-13,10.200000,10.300000,9.960000,10.000000,10.000000,6478000
2019-05-14,10.100000,10.360000,9.940000,10.290000,10.290000,2681100
2019-05-15,10.130000,10.650000,10.100000,10.610000,10.610000,3334600
2019-05-16,10.630000,10.890000,10.600000,10.830000,10.830000,2842000
2019-05-17,10.630000,10.840000,10.510000,10.670000,10.670000,2664300
2019-05-20,10.450000,10.460000,10.225000,10.320000,10.320000,3354700
2019-05-21,10.530000,10.730000,10.510000,10.640000,10.640000,1853200
2019-05-22,10.550000,10.760000,10.540000,10.750000,10.750000,1732000
2019-05-23,10.200000,10.280000,9.600000,9.780000,9.780000,11205200
2019-05-24,9.850000,9.950000,9.540000,9.570000,9.570000,4666500
2019-05-28,9.610000,9.770000,9.540000,9.550000,9.550000,3249800
2019-05-29,9.420000,9.470000,9.206000,9.410000,9.410000,3551100
2019-05-30,9.410000,9.500000,9.200000,9.330000,9.330000,2926500
2019-05-31,9.070000,9.300000,9.030000,9.170000,9.170000,3455600
2019-06-03,9.200000,9.240000,8.620000,8.730000,8.730000,5996800
2019-06-04,8.830000,9.110000,8.675000,9.110000,9.110000,5458900
2019-06-05,9.200000,9.250000,8.520000,8.800000,8.800000,17656500
2019-06-06,5.410000,5.890000,4.950000,5.210000,5.210000,57916600
2019-06-07,5.270000,5.360000,4.954000,5.100000,5.100000,22741000
2019-06-10,5.230000,5.410000,5.080000,5.180000,5.180000,16134600
2019-06-11,5.200000,5.285000,4.890000,5.090000,5.090000,17800000
2019-06-12,5.250000,5.325000,5.000000,5.050000,5.050000,10510700
2019-06-13,5.110000,5.455000,5.040000,5.360000,5.360000,10339600
2019-06-14,5.340000,5.360000,5.060000,5.290000,5.290000,11018000
2019-06-17,5.350000,6.000000,5.330000,5.760000,5.760000,16288700
2019-06-18,5.810000,6.040000,5.740000,5.750000,5.750000,11714400
2019-06-19,5.800000,5.850000,5.660000,5.730000,5.730000,4933300
2019-06-20,5.800000,5.920000,5.670000,5.730000,5.730000,4853400
2019-06-21,5.960000,6.010000,5.680000,5.770000,5.770000,17291200
2019-06-24,5.780000,5.830000,5.420000,5.530000,5.530000,8187600
2019-06-25,5.520000,5.790000,5.360000,5.390000,5.390000,8613900
2019-06-26,5.450000,5.500000,5.260000,5.280000,5.280000,7799700
2019-06-27,5.220000,5.370000,5.200000,5.320000,5.320000,4141000
2019-06-28,5.320000,5.390000,5.240000,5.260000,5.260000,16343300
2019-07-01,5.340000,5.470000,5.250000,5.310000,5.310000,5095900
2019-07-02,5.330000,5.370000,5.130000,5.170000,5.170000,4487400
2019-07-03,5.230000,5.341000,5.150000,5.230000,5.230000,3810600
2019-07-05,5.220000,5.280000,5.150000,5.240000,5.240000,3306500
2019-07-08,5.210000,5.250000,5.050000,5.100000,5.100000,5364400
2019-07-09,5.060000,5.140000,5.030000,5.110000,5.110000,4618500
2019-07-10,5.150000,5.275000,5.100000,5.150000,5.150000,5717600
2019-07-11,5.160000,5.210000,5.120000,5.180000,5.180000,7104200
2019-07-12,5.200000,5.260000,5.150000,5.250000,5.250000,7378300
2019-07-15,5.240000,5.280000,5.200000,5.250000,5.250000,6100100
